alt_id,hid,pid,inc,sex,age,job,ptype_code,household_id,parcel_id,dparcel_id,distance
109,23595,1,7377,1,4,2,6,23595.0,204.0,365,3.9054315893640137
43,76862,1,17235,1,3,2,6,76862.0,296.0,12,4.26829215410315
16,20675,1,12037,1,4,2,6,20675.0,3.0,281,6.258216226535074
72,75953,1,12029,1,2,2,6,75953.0,296.0,426,6.11870200287075
8,20634,1,11344,1,4,2,6,20634.0,201.0,275,7.293173304189067
74,15091,1,17462,1,2,4,6,15091.0,206.0,429,7.651750298098959
72,24235,1,6828,1,4,2,6,24235.0,15.0,426,6.11870200287075
72,17287,1,6691,1,3,4,6,17287.0,3.0,426,6.11870200287075
72,20038,1,3435,1,4,2,6,20038.0,336.0,426,6.11870200287075
15,10652,1,14505,1,3,2,6,10652.0,265.0,13,5.4903811826923965
0,21711,1,3217,1,4,2,6,21711.0,345.0,130,6.242501232113177
71,96200,1,11973,2,4,2,6,96200.0,304.0,426,3.6163373681955022
70,16400,1,12723,1,3,4,6,16400.0,333.0,426,5.064801593486904
70,14311,1,11198,1,2,4,6,14311.0,377.0,426,5.064801593486904
71,16493,1,16828,1,1,4,6,16493.0,279.0,426,3.6163373681955022
72,11053,1,15489,1,2,4,6,11053.0,304.0,426,6.11870200287075
102,24728,1,2737,1,4,2,6,24728.0,5.0,346,4.870425073206561
44,18701,1,10675,1,3,4,6,18701.0,276.0,12,7.530552417873839
75,96708,1,7693,2,4,2,6,96708.0,328.0,429,6.708273313071303
25,19684,1,13693,1,1,4,6,19684.0,296.0,345,4.742471696692911
28,19288,1,12264,1,1,4,6,19288.0,3.0,349,6.379216513349416
78,11518,1,14771,1,3,4,6,11518.0,352.0,244,7.027820426073218
70,17916,1,18005,1,3,4,6,17916.0,22.0,426,5.064801593486904
53,10406,1,18067,1,1,2,6,10406.0,19.0,221,6.954510536533835
40,14273,1,7085,1,3,4,6,14273.0,277.0,1,4.328956509331141
