,1,building_id,name,building_type_id,year_built,base_area,stories,un_residential_floor,building_sqft,non_residential_sqft,p_ruzhulv,job_type_name,parcel_id2,geometry,kindergarten_weight,primary_weight,middle_weight,high_weight,school_cap_round
0,602.0,576.0,升官渡幼儿园,5.0,0.0,554.0,2.0,0.0,1109.0,1109,0.8,service,130,"POLYGON Z ((114.182209419 30.526367962999988 0, 114.18213286500007 30.526275997000106 0, 114.18175730800007 30.52650564500001 0, 114.18183386200002 30.52659761100007 0, 114.182209419 30.526367962999988 0))",1.0,0.0,0.0,0.0,92.0
1,603.0,577.0,升官渡幼儿园,5.0,0.0,639.0,3.0,0.0,1918.0,1918,0.8,service,130,"POLYGON Z ((114.18256307300004 30.526773847999998 0, 114.18225133300001 30.5264133250001 0, 114.1822170810001 30.526433801000017 0, 114.18220270399998 30.52641703300005 0, 114.1821332410001 30.526461449000085 0, 114.18245787400005 30.52684068900002 0, 114.18247461300001 30.52683005200003 0, 114.18256307300004 30.526773847999998 0))",1.0,0.0,0.0,0.0,160.0
2,1124.0,878.0,幼儿园,5.0,0.0,515.0,2.0,2.0,1030.0,1030,0.8,service,236,"POLYGON Z ((114.1553917841036 30.50784637291186 0, 114.15520320706241 30.50784610131658 0, 114.15520326911563 30.50804883818343 0, 114.15545094420575 30.508054431067187 0, 114.15545094420575 30.507929267921472 0, 114.1553917841036 30.50784637291186 0))",1.0,0.0,0.0,0.0,86.0
3,1412.0,1328.0,育才实验幼儿园,5.0,2002.0,2473.0,3.0,3.0,7421.0,7421,0.8,service,191,"POLYGON Z ((114.15576320410867 30.503402310967996 0, 114.15576320410867 30.503568123470213 0, 114.15586046758656 30.503591516635307 0, 114.15584941042195 30.503637463897924 0, 114.1558865101543 30.503647586666858 0, 114.15586046758656 30.5037485643449 0, 114.15576320410867 30.503721186283748 0, 114.1557631150757 30.503808226268745 0, 114.15586046758656 30.50383226334836 0, 114.15584450282167 30.503901362757755 0, 114.15635472598991 30.504013111615834 0, 114.15638186123392 30.50387931947509 0, 114.15619929166407 30.50383706303008 0, 114.15623645524828 30.503698156444823 0, 114.15637097943713 30.503726334902524 0, 114.15641401739309 30.503537323488715 0, 114.15627954806274 30.50351420281827 0, 114.15626360488149 30.50361995859423 0, 114.15619929166407 30.50361517959694 0, 114.15620966264592 30.503541037688773 0, 114.15595188726977 30.50348548926398 0, 114.15595666626723 30.503452539003593 0, 114.15576320410867 30.503402310967996 0))",1.0,0.0,0.0,0.0,618.0
4,1418.0,1335.0,育才实验幼儿园,5.0,2002.0,1388.0,3.0,3.0,4164.0,4164,0.8,service,191,"POLYGON Z ((114.15576320410867 30.503721186283748 0, 114.15562860617524 30.503697063768563 0, 114.15566083967609 30.503549899608238 0, 114.15576320410867 30.503568123470213 0, 114.15576320410867 30.503402310967996 0, 114.15556468326356 30.50335999067113 0, 114.15557479254267 30.503331884159167 0, 114.15530575945327 30.50327148569054 0, 114.15527874651693 30.503373326717707 0, 114.15521470489479 30.50335446253851 0, 114.1552035407109 30.503401497980807 0, 114.15548337285938 30.50347058929632 0, 114.1554725270355 30.50350774928323 0, 114.15561757059444 30.503535967311144 0, 114.15558063363935 30.503697070963074 0, 114.15555379966813 30.503651030170918 0, 114.15551032284314 30.50362371326387 0, 114.15545654068681 30.50362371326387 0, 114.15541321584728 30.50364677278039 0, 114.15539222387208 30.503701508218082 0, 114.15541321584728 30.50374775045843 0, 114.15544643680366 30.503780699819536 0, 114.15551032284314 30.503789666060353 0, 114.15554870231082 30.50376657326885 0, 114.1557631150757 30.503808226268745 0, 114.15576320410867 30.503721186283748 0))",1.0,0.0,0.0,0.0,347.0
5,1424.0,1376.0,育才实验幼儿园,5.0,2002.0,1110.0,3.0,3.0,3330.0,3330,0.8,service,191,"POLYGON Z ((114.15541321584728 30.5030177878407 0, 114.15504833121551 30.50268410159007 0, 114.15482139539117 30.502836804674914 0, 114.15495613631668 30.502984816895882 0, 114.15504833121551 30.502925017375702 0, 114.15531674647069 30.503114778824035 0, 114.15541321584728 30.5030177878407 0))",1.0,0.0,0.0,0.0,278.0
6,1562.0,1498.0,博尔顿幼儿园,5.0,2019.0,329.0,3.0,0.0,987.0,987,0.5,service,284,"POLYGON Z ((114.13510580998522 30.490854902331986 0, 114.1346866980327 30.490748373138963 0, 114.13465986226282 30.490808429865222 0, 114.13508949448462 30.49092898398551 0, 114.13510580998522 30.490854902331986 0))",1.0,0.0,0.0,0.0,82.0
7,2130.0,2110.0,万科神龙幼儿园,5.0,2013.0,2123.0,3.0,0.0,6369.0,6369,0.6,service,234,"POLYGON Z ((114.15065314818538 30.504113974437427 0, 114.15073105900461 30.50381650688584 0, 114.15089151384768 30.503849082192644 0, 114.1509068419407 30.503757824573462 0, 114.1506507132879 30.503693067288243 0, 114.15058256036122 30.50395620368076 0, 114.15004243994738 30.503857230031358 0, 114.15011556525364 30.50359802075703 0, 114.14991824487879 30.50355772161775 0, 114.14989195436272 30.503662190340794 0, 114.1499456521461 30.503672164710046 0, 114.14990400125812 30.503824486463714 0, 114.14991988925873 30.50383474741252 0, 114.14988277456467 30.50395915900526 0, 114.15003814662198 30.503986768998583 0, 114.15002757709058 30.504019840537346 0, 114.15010214411716 30.504028268893205 0, 114.15010201876481 30.504004474941553 0, 114.1503590951839 30.504054789378003 0, 114.15034824259884 30.504083995891047 0, 114.15042302810863 30.504092268616173 0, 114.15042288796548 30.50406865894504 0, 114.15065314818538 30.504113974437427 0))",1.0,0.0,0.0,0.0,531.0
8,2424.0,2435.0,海滨城新星艺术幼儿园,5.0,2009.0,434.0,4.0,0.0,1738.0,1738,0.6,service,275,"POLYGON Z ((114.13168626871129 30.483504613519877 0, 114.13132307506294 30.48331891621737 0, 114.13126948675207 30.483399140381955 0, 114.13162786465757 30.483591975622062 0, 114.13168626871129 30.483504613519877 0))",1.0,0.0,0.0,0.0,145.0
9,2614.0,2627.0,小太阳双语幼儿园,6.0,2008.0,326.0,6.0,0.0,1958.0,1958,0.6,retail,9,"POLYGON Z ((114.17378804778087 30.51486700729804 0, 114.17378804778087 30.51481193821186 0, 114.1740518369234 30.51482168146695 0, 114.1740518369234 30.51477346696416 0, 114.1740518369234 30.514761481748497 0, 114.17365347952513 30.514737898826393 0, 114.17365349516054 30.51475102266876 0, 114.17365352359184 30.514774887042883 0, 114.17366456456868 30.514797651581848 0, 114.17368077844577 30.514821043847572 0, 114.17370784803944 30.514853054316514 0, 114.17373372333327 30.51486700729804 0, 114.17378804778087 30.51486700729804 0))",1.0,0.0,0.0,0.0,163.0
