hid,pid,inc,sex,age,job,person_id,ptype_code,household_id,parcel_id
59,1,11554,1,5,2,60,6,59.0,287.0
10336,1,21975,1,1,2,12043,6,10336.0,340.0
10337,1,16872,1,1,2,12048,6,10337.0,22.0
10338,1,17247,1,3,2,12053,6,10338.0,371.0
10339,1,17447,1,1,2,12058,6,10339.0,300.0
10340,1,18044,1,1,2,12063,6,10340.0,13.0
10341,1,12124,1,3,2,12068,6,10341.0,356.0
10342,1,15962,1,3,2,12073,6,10342.0,294.0
10343,1,14720,1,1,2,12078,6,10343.0,352.0
10344,1,15509,1,3,2,12083,6,10344.0,195.0
10345,1,17414,1,3,2,12088,6,10345.0,276.0
10346,1,18406,1,3,2,12093,6,10346.0,543.0
10347,1,17777,1,1,2,12098,6,10347.0,278.0
10348,1,20791,1,2,2,12103,6,10348.0,300.0
10349,1,18030,1,3,2,12108,6,10349.0,340.0
10350,1,18387,1,1,2,12113,6,10350.0,340.0
10351,1,11694,1,3,2,12118,6,10351.0,13.0
10352,1,11755,1,1,2,12123,6,10352.0,26.0
10353,1,15604,1,1,2,12128,6,10353.0,371.0
10354,1,12678,1,1,2,12133,6,10354.0,16.0
10355,1,18195,1,1,2,12138,6,10355.0,352.0
10356,1,16940,1,2,2,12143,6,10356.0,543.0
10357,1,22200,1,3,2,12148,6,10357.0,195.0
10358,1,16763,1,2,2,12153,6,10358.0,357.0
10359,1,13197,1,1,2,12158,6,10359.0,3.0
10360,1,19550,1,1,2,12163,6,10360.0,342.0
10361,1,10815,1,1,2,12168,6,10361.0,543.0
10362,1,18521,1,3,2,12173,6,10362.0,352.0
10363,1,16352,1,3,2,12178,6,10363.0,11.0
10364,1,14217,1,1,2,12183,6,10364.0,56.0
10365,1,11130,1,2,2,12188,6,10365.0,331.0
10366,1,13442,1,1,2,12193,6,10366.0,352.0
10367,1,15685,1,3,2,12198,6,10367.0,19.0
10368,1,16920,1,3,2,12203,6,10368.0,293.0
