tour_id,person_id,tour_type,tour_type_count,tour_type_num,tour_num,tour_count,tour_category,number_of_participants,destination,origin,household_id,tdd,start,end,duration,composition,destination_logsum
10828426,264107,work,1,1,1,1,mandatory,1,24.0,9,226869,49.0,7.0,19.0,12.0,,
10834207,264248,work,1,1,1,1,mandatory,1,22.0,10,226939,49.0,7.0,19.0,12.0,,
13271288,323689,work,1,1,1,1,mandatory,1,1.0,10,256660,106.0,11.0,18.0,7.0,,
13286130,324051,work,1,1,1,1,mandatory,1,13.0,16,256841,31.0,6.0,18.0,12.0,,
13286171,324052,work,1,1,1,1,mandatory,1,2.0,16,256841,47.0,7.0,17.0,10.0,,
13321308,324909,work,1,1,1,1,mandatory,1,4.0,16,257270,28.0,6.0,15.0,9.0,,
13342710,325431,work,1,1,1,1,mandatory,1,12.0,16,257531,47.0,7.0,17.0,10.0,,
13350582,325623,work,1,1,1,2,mandatory,1,17.0,16,257627,56.0,8.0,10.0,2.0,,
13350574,325623,school,1,1,2,2,mandatory,1,13.0,16,257627,156.0,16.0,18.0,2.0,,
13350623,325624,work,1,1,1,1,mandatory,1,15.0,16,257627,30.0,6.0,17.0,11.0,,
15826359,386008,school,1,1,1,1,mandatory,1,9.0,9,287819,59.0,8.0,13.0,5.0,,
15828573,386062,school,1,1,1,1,mandatory,1,13.0,9,287846,45.0,7.0,15.0,8.0,,
17156120,418441,work,1,1,1,1,mandatory,1,14.0,10,304036,47.0,7.0,17.0,10.0,,
17156153,418442,school,1,1,1,1,mandatory,1,10.0,10,304036,54.0,8.0,8.0,0.0,,
24423157,595686,school,1,1,1,1,mandatory,1,8.0,21,370497,46.0,7.0,16.0,9.0,,
26415929,644290,work,1,1,1,1,mandatory,1,12.0,7,386699,122.0,12.0,22.0,10.0,,
26415970,644291,work,1,1,1,1,mandatory,1,2.0,7,386699,47.0,7.0,17.0,10.0,,
26416003,644292,school,1,1,1,1,mandatory,1,9.0,7,386699,130.0,13.0,19.0,6.0,,
26423555,644476,work,1,1,1,1,mandatory,1,4.0,16,386761,47.0,7.0,17.0,10.0,,
26423629,644478,school,1,1,1,1,mandatory,1,20.0,16,386761,107.0,11.0,19.0,8.0,,
