,tour_id,survey_tour_id,person_id,household_id,tour_type,tour_category,destination,origin,start,end,tour_mode,survey_parent_tour_id,parent_tour_id,composition,tdd,atwork_subtour_frequency,stop_frequency
1889,1052807,10528070,25678,25678,escort,non_mandatory,5.0,6.0,8.0,9.0,WALK,,,,55,,0out_0in
1890,1052808,10528080,25678,25678,escort,non_mandatory,7.0,6.0,15.0,18.0,WALK,,,,148,,0out_0in
1891,1053031,10530310,25683,25683,othmaint,non_mandatory,4.0,6.0,8.0,21.0,WALK,,,,67,,0out_0in
1892,1053072,10530720,25684,25684,othmaint,non_mandatory,2.0,6.0,14.0,14.0,TAXI,,,,135,,0out_0in
1893,1054758,10547580,25725,25725,shopping,non_mandatory,11.0,6.0,15.0,16.0,WALK,,,,146,,0out_0in
1894,1054750,10547500,25725,25725,othdiscr,non_mandatory,4.0,6.0,7.0,10.0,WALK,,,,40,,0out_0in
1895,1055100,10551000,25734,25734,eatout,non_mandatory,5.0,6.0,11.0,15.0,WALK,,,,103,,0out_0in
1896,1056292,10562920,25763,25763,escort,non_mandatory,7.0,6.0,12.0,12.0,WALK,,,,112,,0out_0in
1897,1059610,10596100,25844,25844,eatout,non_mandatory,5.0,6.0,15.0,16.0,SHARED2FREE,,,,146,,0out_0in
1898,1062999,10629990,25926,25926,shopping,non_mandatory,5.0,7.0,11.0,12.0,TNC_SHARED,,,,100,,0out_1in
1899,1062994,10629940,25926,25926,othmaint,non_mandatory,2.0,7.0,15.0,15.0,WALK,,,,145,,0out_0in
1900,1064492,10644920,25963,25963,escort,non_mandatory,20.0,7.0,17.0,17.0,TNC_SINGLE,,,,162,,0out_0in
1901,1064511,10645110,25963,25963,othmaint,non_mandatory,22.0,7.0,9.0,12.0,SHARED3FREE,,,,73,,0out_1in
1902,1064512,10645120,25963,25963,othmaint,non_mandatory,2.0,7.0,14.0,16.0,WALK,,,,137,,0out_0in
1903,1065459,10654590,25986,25986,shopping,non_mandatory,5.0,7.0,16.0,16.0,WALK_LOC,,,,154,,0out_0in
1904,1066356,10663560,26008,26008,othmaint,non_mandatory,13.0,7.0,11.0,13.0,WALK,,,,101,,0out_0in
1905,1066353,10663530,26008,26008,othdiscr,non_mandatory,10.0,7.0,8.0,10.0,WALK,,,,56,,2out_1in
1906,1066334,10663340,26008,26008,eatout,non_mandatory,11.0,7.0,16.0,16.0,DRIVEALONEFREE,,,,154,,0out_0in
1907,1073282,10732820,26177,26177,othdiscr,non_mandatory,12.0,8.0,10.0,14.0,WALK,,,,89,,0out_0in
1908,1074392,10743920,26204,26204,othmaint,non_mandatory,8.0,8.0,12.0,14.0,BIKE,,,,114,,0out_0in
1909,1074389,10743890,26204,26204,othdiscr,non_mandatory,16.0,8.0,14.0,17.0,WALK,,,,138,,0out_0in
1910,1074537,10745370,26208,26208,escort,non_mandatory,13.0,8.0,11.0,11.0,WALK,,,,99,,1out_0in
1911,1075417,10754170,26229,26229,othmaint,non_mandatory,7.0,8.0,6.0,22.0,WALK,,,,35,,0out_1in
1912,1078634,10786340,26308,26308,eatout,non_mandatory,15.0,8.0,17.0,19.0,WALK,,,,164,,0out_0in
1913,1079842,10798420,26337,26337,othdiscr,non_mandatory,9.0,8.0,18.0,21.0,WALK,,,,172,,0out_0in
1914,1081452,10814520,26376,26376,social,non_mandatory,11.0,8.0,12.0,17.0,TNC_SINGLE,,,,117,,0out_1in
1915,1081453,10814530,26376,26376,social,non_mandatory,7.0,8.0,18.0,21.0,TNC_SINGLE,,,,172,,0out_0in
1916,1083163,10831630,26418,26418,othdiscr,non_mandatory,16.0,8.0,18.0,19.0,WALK,,,,170,,0out_0in
1917,1085593,10855930,26477,26477,social,non_mandatory,19.0,8.0,17.0,23.0,WALK,,,,168,,0out_0in
1918,1085626,10856260,26478,26478,othmaint,non_mandatory,10.0,8.0,12.0,13.0,BIKE,,,,113,,0out_0in
1919,1085604,10856040,26478,26478,eatout,non_mandatory,13.0,8.0,11.0,11.0,WALK,,,,99,,0out_0in
1920,1087512,10875120,26524,26524,othmaint,non_mandatory,11.0,8.0,12.0,15.0,BIKE,,,,115,,0out_0in
1921,1091986,10919860,26633,26633,shopping,non_mandatory,17.0,8.0,10.0,20.0,WALK_LRF,,,,95,,1out_0in
1922,1094154,10941540,26686,26686,othmaint,non_mandatory,9.0,8.0,12.0,13.0,BIKE,,,,113,,0out_0in
1923,1094132,10941320,26686,26686,eatout,non_mandatory,5.0,8.0,19.0,19.0,WALK,,,,175,,0out_0in
1924,1094364,10943640,26691,26691,shopping,non_mandatory,16.0,8.0,14.0,16.0,WALK,,,,137,,0out_0in
1925,1094643,10946430,26698,26698,othdiscr,non_mandatory,20.0,8.0,8.0,14.0,WALK_LOC,,,,60,,0out_2in
1926,1098131,10981310,26783,26783,othmaint,non_mandatory,3.0,8.0,8.0,12.0,WALK,,,,58,,0out_0in
1927,1100145,11001450,26832,26832,shopping,non_mandatory,6.0,8.0,16.0,17.0,WALK,,,,155,,0out_1in
1928,1100640,11006400,26844,26844,social,non_mandatory,7.0,8.0,8.0,12.0,WALK,,,,58,,0out_1in
1929,1101244,11012440,26859,26859,othdiscr,non_mandatory,15.0,8.0,9.0,14.0,WALK,,,,75,,0out_0in
1930,1102887,11028870,26899,26899,othmaint,non_mandatory,4.0,8.0,11.0,14.0,BIKE,,,,102,,0out_0in
1931,1102888,11028880,26899,26899,othmaint,non_mandatory,13.0,8.0,14.0,16.0,WALK_LRF,,,,137,,0out_0in
1932,1103343,11033430,26910,26910,shopping,non_mandatory,16.0,8.0,13.0,16.0,WALK,,,,127,,0out_0in
1933,1103344,11033440,26910,26910,shopping,non_mandatory,9.0,8.0,16.0,17.0,BIKE,,,,155,,0out_0in
1934,1103316,11033160,26910,26910,eatout,non_mandatory,12.0,8.0,9.0,11.0,WALK,,,,72,,0out_0in
1935,1104262,11042620,26933,26933,escort,non_mandatory,6.0,8.0,7.0,7.0,WALK,,,,37,,0out_0in
1936,1104286,11042860,26933,26933,shopping,non_mandatory,16.0,8.0,12.0,12.0,WALK,,,,112,,0out_0in
1937,1104409,11044090,26936,26936,shopping,non_mandatory,21.0,8.0,10.0,15.0,WALK,,,,90,,2out_1in
1938,1110428,11104280,27083,27083,othdiscr,non_mandatory,12.0,9.0,10.0,14.0,WALK_LRF,,,,89,,0out_0in
1939,1112437,11124370,27132,27132,othdiscr,non_mandatory,9.0,9.0,9.0,14.0,WALK,,,,75,,0out_0in
