,person_id,household_id,age,PNUM,sex,pemploy,pstudent,ptype,school_zone_id,workplace_zone_id,free_parking_at_work,cdap_activity,mandatory_tour_frequency,alternatives_id
0,25676,25675,27,1,2,3,2,3,13,-1,False,M,school1,0
1,25678,25678,30,1,2,3,3,4,-1,-1,False,N,,79
2,25683,25683,23,1,1,3,3,4,-1,-1,False,N,,1
3,25684,25684,52,1,1,3,3,4,-1,-1,False,N,,1
4,25691,25691,19,1,1,3,2,3,13,-1,False,M,school1,0
5,25725,25725,51,1,2,3,3,4,-1,-1,False,N,,2
6,25734,25734,55,1,1,3,3,4,-1,-1,False,N,,3
7,25754,25754,35,1,1,3,2,3,13,-1,False,M,school2,0
8,25763,25763,46,1,1,3,3,4,-1,-1,False,N,,56
9,25796,25796,26,1,1,3,2,3,13,-1,False,M,school1,0
10,25844,25844,51,1,2,3,3,4,-1,-1,False,N,,3
11,25897,25897,42,1,1,3,3,4,-1,-1,False,H,,0
12,25926,25926,63,1,1,3,3,4,-1,-1,False,N,,5
13,25959,25959,24,1,2,3,2,3,12,-1,False,M,school1,0
14,25963,25963,60,1,1,3,3,4,-1,-1,False,N,,55
15,25986,25986,53,1,1,3,3,4,-1,-1,False,N,,7
16,26008,26008,48,1,1,3,3,4,-1,-1,False,N,,8
17,26044,26044,23,1,1,3,2,3,12,-1,False,M,school1,0
18,26116,26116,59,1,2,3,3,4,-1,-1,False,H,,0
19,26162,26162,58,1,1,3,2,3,12,-1,False,M,school1,0
20,26170,26170,44,1,1,3,3,4,-1,-1,False,H,,0
21,26177,26177,48,1,1,3,3,4,-1,-1,False,N,,9
22,26178,26178,24,1,1,3,2,3,10,-1,False,M,school2,0
23,26204,26204,23,1,1,3,2,3,12,-1,False,N,,10
24,26208,26208,60,1,1,3,3,4,-1,-1,False,N,,56
25,26229,26229,30,1,1,3,3,4,-1,-1,False,N,,1
26,26300,26300,49,1,2,3,3,4,-1,-1,False,H,,0
27,26308,26308,44,1,1,3,3,4,-1,-1,False,N,,3
28,26323,26323,52,1,1,3,3,4,-1,-1,False,H,,0
29,26337,26337,50,1,1,3,3,4,-1,-1,False,N,,9
30,26376,26376,58,1,1,3,3,4,-1,-1,False,N,,27
31,26399,26399,48,1,1,3,3,4,-1,-1,False,H,,0
32,26418,26418,27,1,1,3,2,3,9,-1,False,M,school1,9
33,26477,26477,24,1,2,3,2,3,13,-1,False,M,school1,13
34,26478,26478,46,1,1,3,3,4,-1,-1,False,N,,25
35,26485,26485,30,1,2,3,3,4,-1,-1,False,H,,0
36,26524,26524,54,1,1,3,3,4,-1,-1,False,N,,1
37,26589,26589,31,1,1,3,2,3,10,-1,False,M,school1,0
38,26633,26633,39,1,1,3,3,4,-1,-1,False,N,,7
39,26686,26686,39,1,1,3,3,4,-1,-1,False,N,,25
40,26691,26691,43,1,2,3,3,4,-1,-1,False,N,,7
41,26698,26698,55,1,2,3,3,4,-1,-1,False,N,,9
42,26783,26783,52,1,1,3,3,4,-1,-1,False,N,,1
43,26789,26789,49,1,1,3,2,3,12,-1,False,M,school1,0
44,26823,26823,26,1,1,3,2,3,12,-1,False,M,school1,0
45,26832,26832,51,1,2,3,3,4,-1,-1,False,N,,7
46,26841,26841,32,1,1,3,2,3,12,-1,False,M,school1,0
47,26844,26844,51,1,1,3,3,4,-1,-1,False,N,,13
48,26859,26859,48,1,1,3,3,4,-1,-1,False,N,,9
49,26868,26868,24,1,1,3,2,3,12,-1,False,M,school1,0
50,26899,26899,62,1,1,3,3,4,-1,-1,False,N,,14
51,26910,26910,41,1,1,3,3,4,-1,-1,False,N,,15
52,26933,26933,34,1,1,3,3,4,-1,-1,False,N,,69
53,26936,26936,57,1,1,3,3,4,-1,-1,False,N,,7
54,27029,27029,51,1,2,3,3,4,-1,-1,False,H,,0
55,27061,27061,22,1,2,3,2,3,12,-1,False,M,school1,0
56,27083,27083,51,1,2,3,3,4,-1,-1,False,N,,9
57,27132,27132,56,1,1,3,3,4,-1,-1,False,N,,9
58,27158,27158,49,1,1,3,3,4,-1,-1,False,H,,0
