household_id,age,PNUM,sex,pemploy,pstudent,ptype,age_16_to_19,age_16_p,adult,male,female,has_non_worker,has_retiree,has_preschool_kid,has_driving_kid,has_school_kid,has_full_time,has_part_time,has_university,student_is_employed,nonstudent_to_school,is_student,is_gradeschool,is_highschool,is_university,school_segment,is_worker,home_zone_id,value_of_time,school_zone_id,school_location_logsum,distance_to_school,roundtrip_auto_time_to_school,workplace_zone_id,workplace_location_logsum,distance_to_work,workplace_in_cbd,work_zone_area_type,roundtrip_auto_time_to_work,work_auto_savings,work_auto_savings_ratio,free_parking_at_work,income,hhsize,HHT,auto_ownership,num_workers,sample_rate,income_in_thousands,income_segment,median_value_of_time,hh_value_of_time,num_non_workers,num_drivers,num_adults,num_children,num_young_children,num_children_5_to_15,num_children_16_to_17,num_college_age,num_young_adults,non_family,family,home_is_urban,home_is_rural,hh_work_auto_savings_ratio,auPkRetail,auPkTotal,auOpRetail,auOpTotal,trPkRetail,trPkTotal,trOpRetail,trOpTotal,nmRetail,nmTotal,DISTRICT,SD,county_id,TOTHH,TOTPOP,TOTACRE,RESACRE,CIACRE,TOTEMP,AGE0519,RETEMPN,FPSEMPN,HEREMPN,OTHEMPN,AGREMPN,MWTEMPN,PRKCST,OPRKCST,area_type,HSENROLL,COLLFTE,COLLPTE,TOPOLOGY,TERMINAL,household_density,employment_density,density_index,is_cbd
26478,46,1,1,3,3,2,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,8,1.0,-1,,,0.0,-1,,,False,,0.0,0.0,0.0,False,4600,1,4,0,0,0.02,4.6,1,6.01,1.0,1,1,1,0,0,0,0,0,0,True,False,True,False,0.0,9.267844254343885,12.49714602566128,9.262133093242994,12.489886062198453,7.54693384078048,10.834136328674168,7.501423798794656,10.77932009280521,7.981950488551539,11.052152831140146,1,1,1,4582,9907,51.0,8.33042,15.0,4171,876,344,1413,1690,648,7,69,138.6747,529.59387,0,0.0,0.0,0.0,2,4.64648,196.39595000861536,178.7794647503131,93.5870567218022,False
26686,39,1,1,3,3,2,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,8,2.84310444200838,-1,,,0.0,-1,,,False,,0.0,0.0,0.0,False,0,1,4,0,0,0.02,0.0,1,6.01,2.84310444200838,1,1,1,0,0,0,0,0,0,True,False,True,False,0.0,9.267844254343885,12.49714602566128,9.262133093242994,12.489886062198453,7.54693384078048,10.834136328674168,7.501423798794656,10.77932009280521,7.981950488551539,11.052152831140146,1,1,1,4582,9907,51.0,8.33042,15.0,4171,876,344,1413,1690,648,7,69,138.6747,529.59387,0,0.0,0.0,0.0,2,4.64648,196.39595000861536,178.7794647503131,93.5870567218022,False
26844,51,1,1,3,3,2,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,8,41.95868930639066,-1,,,0.0,-1,,,False,,0.0,0.0,0.0,False,3500,1,4,0,0,0.02,3.5,1,6.01,41.95868930639066,1,1,1,0,0,0,0,0,0,True,False,True,False,0.0,9.267844254343885,12.49714602566128,9.262133093242994,12.489886062198453,7.54693384078048,10.834136328674168,7.501423798794656,10.77932009280521,7.981950488551539,11.052152831140146,1,1,1,4582,9907,51.0,8.33042,15.0,4171,876,344,1413,1690,648,7,69,138.6747,529.59387,0,0.0,0.0,0.0,2,4.64648,196.39595000861536,178.7794647503131,93.5870567218022,False
566633,72,1,1,3,3,3,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,8,5.520555697695516,-1,,,0.0,-1,,,False,,0.0,0.0,0.0,False,8400,1,4,0,0,0.02,8.4,1,6.01,5.520555697695516,1,1,1,0,0,0,0,0,0,True,False,True,False,0.0,9.267844254343885,12.49714602566128,9.262133093242994,12.489886062198453,7.54693384078048,10.834136328674168,7.501423798794656,10.77932009280521,7.981950488551539,11.052152831140146,1,1,1,4582,9907,51.0,8.33042,15.0,4171,876,344,1413,1690,648,7,69,138.6747,529.59387,0,0.0,0.0,0.0,2,4.64648,196.39595000861536,178.7794647503131,93.5870567218022,False
1173905,40,1,1,3,3,2,False,True,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,0,False,8,2.9767301704144296,-1,,,0.0,-1,,,False,,0.0,0.0,0.0,False,45000,4,1,1,0,0.02,45.0,2,8.81,2.9767301704144296,4,2,2,2,0,2,0,0,0,False,True,True,False,0.0,9.267844254343885,12.49714602566128,9.262133093242994,12.489886062198453,7.54693384078048,10.834136328674168,7.501423798794656,10.77932009280521,7.981950488551539,11.052152831140146,1,1,1,4582,9907,51.0,8.33042,15.0,4171,876,344,1413,1690,648,7,69,138.6747,529.59387,0,0.0,0.0,0.0,2,4.64648,196.39595000861536,178.7794647503131,93.5870567218022,False
1173905,42,2,2,3,3,2,False,True,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,0,False,8,2.9767301704144296,-1,,,0.0,-1,,,False,,0.0,0.0,0.0,False,45000,4,1,1,0,0.02,45.0,2,8.81,2.9767301704144296,4,2,2,2,0,2,0,0,0,False,True,True,False,0.0,9.267844254343885,12.49714602566128,9.262133093242994,12.489886062198453,7.54693384078048,10.834136328674168,7.501423798794656,10.77932009280521,7.981950488551539,11.052152831140146,1,1,1,4582,9907,51.0,8.33042,15.0,4171,876,344,1413,1690,648,7,69,138.6747,529.59387,0,0.0,0.0,0.0,2,4.64648,196.39595000861536,178.7794647503131,93.5870567218022,False
1173905,12,3,2,4,1,5,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,True,False,False,1,False,8,1.9854790236664248,8,20.93607187982974,0.12,0.78,-1,,,False,,0.0,0.0,0.0,False,45000,4,1,1,0,0.02,45.0,2,8.81,2.9767301704144296,4,2,2,2,0,2,0,0,0,False,True,True,False,0.0,9.267844254343885,12.49714602566128,9.262133093242994,12.489886062198453,7.54693384078048,10.834136328674168,7.501423798794656,10.77932009280521,7.981950488551539,11.052152831140146,1,1,1,4582,9907,51.0,8.33042,15.0,4171,876,344,1413,1690,648,7,69,138.6747,529.59387,0,0.0,0.0,0.0,2,4.64648,196.39595000861536,178.7794647503131,93.5870567218022,False
1173905,9,4,1,4,1,5,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,1,False,8,1.9854790236664248,8,20.57860073687866,0.12,0.78,-1,,,False,,0.0,0.0,0.0,False,45000,4,1,1,0,0.02,45.0,2,8.81,2.9767301704144296,4,2,2,2,0,2,0,0,0,False,True,True,False,0.0,9.267844254343885,12.49714602566128,9.262133093242994,12.489886062198453,7.54693384078048,10.834136328674168,7.501423798794656,10.77932009280521,7.981950488551539,11.052152831140146,1,1,1,4582,9907,51.0,8.33042,15.0,4171,876,344,1413,1690,648,7,69,138.6747,529.59387,0,0.0,0.0,0.0,2,4.64648,196.39595000861536,178.7794647503131,93.5870567218022,False
1286259,67,1,2,3,3,3,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,8,11.48239030277669,-1,,,0.0,-1,,,False,,0.0,0.0,0.0,False,34400,1,6,0,0,0.02,34.4,2,8.81,11.48239030277669,1,1,1,0,0,0,0,0,0,True,False,True,False,0.0,9.267844254343885,12.49714602566128,9.262133093242994,12.489886062198453,7.54693384078048,10.834136328674168,7.501423798794656,10.77932009280521,7.981950488551539,11.052152831140146,1,1,1,4582,9907,51.0,8.33042,15.0,4171,876,344,1413,1690,648,7,69,138.6747,529.59387,0,0.0,0.0,0.0,2,4.64648,196.39595000861536,178.7794647503131,93.5870567218022,False
1511177,61,1,1,1,3,1,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,True,8,20.71852151097765,-1,,,0.0,23,13.914080192241377,1.81,True,1.0,12.31,37.104996,0.3092083,True,70920,2,1,0,1,0.02,70.92,3,10.44,20.71852151097765,1,2,2,0,0,0,0,0,0,False,True,True,False,0.3092083,9.267844254343885,12.49714602566128,9.262133093242994,12.489886062198453,7.54693384078048,10.834136328674168,7.501423798794656,10.77932009280521,7.981950488551539,11.052152831140146,1,1,1,4582,9907,51.0,8.33042,15.0,4171,876,344,1413,1690,648,7,69,138.6747,529.59387,0,0.0,0.0,0.0,2,4.64648,196.39595000861536,178.7794647503131,93.5870567218022,False
