,tour_id,survey_tour_id,person_id,household_id,tour_type,tour_category,destination,origin,tour_mode,survey_parent_tour_id,parent_tour_id,composition,tdd,atwork_subtour_frequency,stop_frequency,ptype,age,sex,alternatives_id
2,1053031,10530310,25683,25683,medical,non_mandatory,4.0,6.0,WALK,,,,67,,0out_0in,4,23,1,1
3,1053072,10530720,25684,25684,medical,non_mandatory,2.0,6.0,TAXI,,,,135,,0out_0in,4,52,1,1
4,1054758,10547580,25725,25725,shopping,non_mandatory,11.0,6.0,WALK,,,,146,,0out_0in,4,51,2,2
5,1054750,10547500,25725,25725,other,non_mandatory,4.0,6.0,WALK,,,,40,,0out_0in,4,51,2,2
6,1055100,10551000,25734,25734,eatout,non_mandatory,5.0,6.0,WALK,,,,103,,0out_0in,4,55,1,3
8,1059610,10596100,25844,25844,eatout,non_mandatory,5.0,6.0,SHARED2FREE,,,,146,,0out_0in,4,51,2,3
9,1062999,10629990,25926,25926,shopping,non_mandatory,5.0,7.0,TNC_SHARED,,,,100,,0out_1in,4,63,1,5
10,1062994,10629940,25926,25926,medical,non_mandatory,2.0,7.0,WALK,,,,145,,0out_0in,4,63,1,5
12,1064511,10645110,25963,25963,medical,non_mandatory,22.0,7.0,SHARED3FREE,,,,73,,0out_1in,4,60,1,55
13,1064512,10645120,25963,25963,medical,non_mandatory,2.0,7.0,WALK,,,,137,,0out_0in,4,60,1,55
14,1065459,10654590,25986,25986,shopping,non_mandatory,5.0,7.0,WALK_LOC,,,,154,,0out_0in,4,53,1,7
15,1066356,10663560,26008,26008,medical,non_mandatory,13.0,7.0,WALK,,,,101,,0out_0in,4,48,1,8
16,1066353,10663530,26008,26008,other,non_mandatory,10.0,7.0,WALK,,,,56,,2out_1in,4,48,1,8
17,1066334,10663340,26008,26008,eatout,non_mandatory,11.0,7.0,DRIVEALONEFREE,,,,154,,0out_0in,4,48,1,8
18,1073282,10732820,26177,26177,other,non_mandatory,12.0,8.0,WALK,,,,89,,0out_0in,4,48,1,9
19,1074392,10743920,26204,26204,medical,non_mandatory,8.0,8.0,BIKE,,,,114,,0out_0in,3,23,1,10
20,1074389,10743890,26204,26204,other,non_mandatory,16.0,8.0,WALK,,,,138,,0out_0in,3,23,1,10
22,1075417,10754170,26229,26229,medical,non_mandatory,7.0,8.0,WALK,,,,35,,0out_1in,4,30,1,1
23,1078634,10786340,26308,26308,eatout,non_mandatory,15.0,8.0,WALK,,,,164,,0out_0in,4,44,1,3
24,1079842,10798420,26337,26337,other,non_mandatory,9.0,8.0,WALK,,,,172,,0out_0in,4,50,1,9
