obs_id,tdd
0,140
1,181
2,138
3,185
4,74
5,58
6,72
7,154
8,127
9,115
10,172
11,165
12,166
13,46
14,164
15,178
16,150
17,135
18,148
19,119
20,158
21,28
22,170
23,96
24,164
25,145
26,145
27,72
28,57
29,154
30,155
31,103
32,73
33,112
34,170
35,171
36,85
37,100
38,42
39,93
40,127
41,121
42,154
43,162
44,129
45,170
46,139
47,149
48,171
49,114
50,74
51,101
52,155
53,169
54,132
55,62
56,99
57,155
58,42
59,127
60,137
61,146
62,155
63,72
64,41
65,154
66,61
67,102
68,147
69,100
70,164
71,172
72,157
73,176
74,98
75,154
76,114
77,44
78,138
79,27
80,131
81,150
82,73
83,72
84,85
85,46
86,162
87,135
88,187
89,146
90,45
91,148
92,170
93,114
94,172
95,143
96,125
97,103
98,107
99,94
100,130
101,73
102,121
103,135
104,133
105,158
106,115
107,146
108,113
109,122
110,116
111,138
112,153
113,45
114,175
115,19
116,173
117,116
118,186
119,89
120,120
121,125
122,156
123,184
124,135
125,48
126,157
127,167
128,158
129,55
130,73
131,70
132,102
133,165
134,155
135,90
136,130
137,105
138,125
139,65
140,186
141,86
142,162
143,173
144,157
145,176
146,23
147,170
148,170
149,182
150,91
151,19
152,29
153,166
154,129
155,110
156,126
157,146
158,125
159,115
160,150
161,162
162,170
163,27
164,73
165,171
166,170
167,35
168,94
169,162
170,103
171,59
172,161
173,71
174,104
175,136
176,100
177,155
178,150
179,114
180,46
181,184
182,129
183,121
184,57
185,71
186,79
187,176
188,72
189,147
190,175
191,188
192,108
193,162
194,77
195,161
196,165
197,114
198,47
199,40
200,138
201,164
202,121
203,166
204,159
205,184
206,41
207,136
208,154
209,112
210,153
211,185
212,159
213,42
214,175
215,166
216,132
217,102
218,156
219,181
220,177
221,63
222,151
223,167
224,140
225,29
226,117
227,171
228,94
229,160
230,101
231,165
232,124
233,166
234,180
235,170
236,164
237,65
238,59
239,120
240,37
241,101
242,125
243,147
244,73
245,155
246,19
247,75
248,147
249,113
250,89
251,74
252,174
253,66
254,71
255,158
256,72
257,62
258,170
259,63
260,150
261,157
262,156
263,103
264,86
265,122
266,103
267,173
268,57
269,114
270,95
271,169
272,121
273,162
274,163
275,175
276,115
277,172
278,76
279,138
280,45
281,135
282,156
283,114
284,147
285,64
286,172
287,115
288,172
289,64
290,135
291,132
292,86
293,157
294,113
295,148
296,150
297,182
298,117
299,109
300,138
301,44
302,146
303,73
304,63
305,119
306,119
307,162
308,182
309,170
310,155
311,126
312,145
313,29
314,170
315,158
316,43
317,157
318,145
319,172
320,65
321,101
322,104
323,59
324,152
325,66
326,168
327,164
328,145
329,154
330,147
331,172
332,149
333,162
334,152
335,86
336,137
337,101
338,171
339,174
340,56
341,184
342,166
343,56
344,102
345,173
346,59
347,100
348,187
349,137
350,102
351,78
352,30
353,147
354,102
355,146
356,103
357,156
358,122
359,178
360,113
361,158
362,128
363,158
364,115
365,19
366,46
367,126
368,169
369,72
370,105
371,19
372,121
373,155
374,149
375,118
376,138
377,147
378,71
379,185
380,88
381,81
382,158
383,61
384,170
385,37
386,114
387,136
388,155
389,164
390,169
391,176
392,25
393,135
394,78
395,151
396,29
397,90
398,57
399,91
400,73
401,155
402,182
403,172
404,166
405,164
406,114
407,154
408,136
409,93
410,60
411,136
412,158
413,169
414,74
415,135
416,157
417,131
418,56
419,139
420,156
421,38
422,127
423,129
424,125
425,175
426,94
427,113
428,100
429,165
430,163
431,135
432,155
433,74
434,186
435,163
436,154
437,124
438,113
439,43
440,154
441,168
442,169
443,140
444,113
445,158
446,103
447,184
448,159
449,114
450,40
451,93
452,166
453,171
454,154
455,136
456,42
457,61
458,56
459,72
460,163
461,183
462,122
463,157
464,137
465,184
466,131
467,157
468,62
469,170
470,131
471,88
472,147
473,180
474,127
475,137
476,149
477,167
478,181
479,135
480,169
481,145
482,115
483,59
484,174
485,45
486,47
487,113
488,184
489,90
490,60
491,113
492,91
493,112
494,120
495,178
496,156
497,85
498,78
499,138
500,185
501,146
502,125
503,83
504,147
505,88
506,185
507,85
508,85
509,151
510,129
511,58
512,114
513,132
514,179
515,56
516,76
517,67
518,149
519,113
520,136
521,29
522,102
523,164
524,57
525,162
526,80
527,169
528,99
529,136
530,145
531,175
532,175
533,130
534,158
535,186
536,100
537,47
538,45
539,184
540,154
541,170
542,145
543,85
544,64
545,24
546,84
547,162
548,163
549,104
550,146
551,136
552,135
553,138
554,101
555,179
556,155
557,164
558,108
559,170
560,134
561,90
562,116
563,173
564,178
565,130
566,103
567,104
568,49
569,183
570,184
571,131
572,103
573,86
574,147
575,182
576,176
577,139
578,114
579,169
580,175
581,170
582,64
583,171
584,125
585,177
586,119
587,126
588,88
589,104
590,125
591,139
592,120
593,125
594,113
595,99
596,116
597,56
598,112
599,168
600,160
601,114
602,145
603,184
604,138
605,178
606,145
607,31
608,165
609,171
610,19
611,157
612,48
613,145
614,23
615,20
616,163
617,162
618,75
619,165
620,145
621,124
622,170
623,165
624,129
625,184
626,58
627,165
628,146
629,165
630,47
631,21
632,146
633,72
634,61
635,154
636,165
637,52
638,155
639,127
640,129
641,103
642,178
643,114
644,181
645,138
646,171
647,57
648,101
649,163
650,164
651,63
652,104
653,42
654,163
655,167
656,135
657,127
658,85
659,141
660,138
661,27
662,26
663,115
664,63
665,112
666,75
667,163
668,107
669,181
670,65
671,126
672,145
673,41
674,46
675,165
676,162
677,115
678,172
679,113
680,114
681,76
682,125
683,147
684,89
685,62
686,39
687,169
688,136
689,49
690,31
691,186
692,71
693,114
694,113
695,71
696,185
697,121
698,141
699,99
700,156
701,57
702,113
703,59
704,185
705,172
706,175
707,102
708,124
709,57
710,182
711,124
712,88
713,162
714,24
715,113
716,146
717,109
718,136
719,24
720,183
721,147
722,72
723,162
724,137
725,135
726,162
727,115
728,154
729,65
730,139
731,29
732,137
733,156
734,90
735,183
736,105
737,63
738,128
739,124
740,126
741,184
742,86
743,129
744,40
745,40
746,63
747,170
748,96
749,120
750,100
751,168
752,167
753,163
754,60
755,99
756,133
757,145
758,101
759,74
760,171
761,128
762,104
763,172
764,48
765,47
766,163
767,165
768,43
769,80
770,154
771,145
772,175
773,47
774,62
775,12
776,170
777,180
778,90
779,73
780,126
781,184
782,44
783,155
784,91
785,99
786,114
787,154
788,126
789,30
790,81
791,184
792,114
793,136
794,89
795,176
796,170
797,124
798,102
799,115
800,121
801,136
802,172
803,170
804,156
805,103
806,157
807,171
808,106
809,91
810,75
811,168
812,115
813,148
814,157
815,147
816,125
817,115
818,164
819,76
820,173
821,102
822,127
823,162
824,159
825,169
826,95
827,44
828,186
829,30
830,180
831,179
832,41
833,98
834,181
835,105
836,62
837,112
838,154
839,164
840,124
841,124
842,182
843,46
844,59
845,170
846,117
847,169
848,157
849,164
850,39
851,172
852,127
853,46
854,156
855,164
856,146
857,131
858,137
859,144
860,92
861,188
862,136
863,146
864,168
865,99
866,181
867,163
868,158
869,126
870,126
871,169
872,165
873,113
874,99
875,84
876,64
877,78
878,85
879,114
880,116
881,23
882,158
883,180
884,171
885,37
886,58
887,73
888,176
889,170
890,155
891,91
892,24
893,147
894,139
895,124
896,171
897,11
898,147
899,149
900,117
901,125
902,127
903,169
904,147
905,137
906,23
907,124
908,100
909,158
910,121
911,177
912,114
913,178
914,113
915,114
916,159
917,155
918,172
919,155
920,113
921,177
922,176
923,164
924,85
925,2
926,120
927,180
928,105
929,60
930,152
931,146
932,28
933,63
934,152
935,63
936,170
937,162
938,101
939,181
940,169
941,69
942,151
943,132
944,86
945,147
946,76
947,148
948,75
949,145
950,163
951,88
952,62
953,188
954,138
955,107
956,156
957,71
958,124
959,180
960,119
961,100
962,112
963,164
964,113
965,72
966,185
967,163
968,162
969,155
970,185
971,41
972,171
973,19
974,136
975,139
976,126
977,28
978,24
979,56
980,115
981,162
982,170
983,166
984,46
985,89
986,155
987,115
988,127
989,95
990,102
991,162
992,155
993,169
994,59
995,175
996,47
997,147
998,78
999,182
1000,164
1001,147
1002,101
1003,82
1004,138
1005,160
1006,169
1007,85
1008,155
1009,158
1010,172
1011,167
1012,172
1013,62
1014,43
1015,164
1016,147
1017,157
1018,126
1019,173
1020,166
1021,27
1022,108
1023,57
1024,122
1025,170
1026,76
1027,172
1028,101
1029,75
1030,102
1031,176
1032,102
1033,137
1034,51
1035,102
1036,180
1037,99
1038,155
1039,166
1040,145
1041,26
1042,28
1043,154
1044,113
1045,136
1046,113
1047,10
1048,116
1049,185
1050,146
1051,184
1052,113
1053,130
1054,186
1055,90
1056,158
1057,157
1058,135
1059,118
1060,157
1061,45
1062,184
1063,63
1064,154
1065,176
1066,113
1067,125
1068,55
1069,148
1070,136
1071,189
1072,45
1073,45
1074,127
1075,115
1076,115
1077,127
1078,155
1079,126
1080,163
1081,185
1082,73
1083,140
1084,57
1085,75
1086,56
1087,172
1088,164
1089,153
1090,57
1091,186
1092,125
1093,61
1094,155
1095,61
1096,114
1097,126
1098,162
1099,116
1100,164
1101,156
1102,136
1103,113
1104,88
1105,136
1106,135
1107,178
1108,73
1109,82
1110,145
1111,140
1112,155
1113,154
1114,170
1115,157
1116,169
1117,146
1118,62
1119,136
1120,137
1121,171
1122,158
1123,49
1124,75
1125,58
1126,167
1127,155
1128,162
1129,99
1130,61
1131,172
1132,127
1133,162
1134,171
1135,165
1136,126
1137,160
1138,170
1139,184
1140,125
1141,113
1142,189
1143,169
1144,46
1145,170
1146,45
1147,47
1148,60
1149,79
1150,184
1151,149
1152,165
1153,48
1154,170
1155,181
1156,59
1157,182
1158,106
1159,29
1160,88
1161,74
1162,127
1163,164
1164,154
1165,75
1166,99
1167,172
1168,56
1169,126
1170,149
1171,57
1172,121
1173,154
1174,49
1175,126
1176,41
1177,60
1178,155
1179,167
1180,104
1181,150
1182,169
1183,145
1184,124
1185,45
1186,106
1187,85
1188,113
1189,166
1190,112
1191,159
1192,169
1193,101
1194,27
1195,162
1196,86
1197,160
1198,144
1199,121
1200,177
1201,169
1202,58
1203,162
1204,159
1205,154
1206,141
1207,104
1208,115
1209,60
1210,121
1211,85
1212,147
1213,173
1214,155
1215,171
1216,177
1217,181
1218,99
1219,112
1220,166
1221,170
1222,42
1223,138
1224,125
1225,170
1226,90
1227,74
1228,113
1229,55
1230,81
1231,175
1232,174
1233,36
1234,184
1235,64
1236,58
1237,95
1238,157
1239,74
1240,114
1241,103
1242,108
1243,43
1244,171
1245,127
1246,154
1247,78
1248,187
1249,29
1250,163
1251,164
1252,162
1253,164
1254,158
1255,115
1256,172
1257,154
1258,84
1259,136
1260,73
1261,146
1262,162
1263,180
1264,27
1265,158
1266,141
1267,157
1268,75
1269,93
1270,126
1271,39
1272,166
1273,108
1274,56
1275,172
1276,110
1277,163
1278,186
1279,139
1280,172
1281,114
1282,156
1283,132
1284,120
1285,153
1286,124
1287,177
1288,75
1289,21
1290,127
1291,153
1292,117
1293,57
1294,137
1295,171
1296,128
1297,92
1298,167
1299,106
1300,88
1301,63
1302,145
1303,159
1304,73
1305,177
1306,145
1307,139
1308,138
1309,24
1310,172
1311,155
1312,114
1313,166
1314,88
1315,145
1316,171
1317,72
1318,111
1319,74
1320,131
1321,42
1322,163
1323,102
1324,164
1325,77
1326,169
1327,57
1328,126
1329,136
1330,136
1331,53
1332,169
1333,169
1334,172
1335,181
1336,22
1337,136
1338,134
1339,184
1340,62
1341,158
1342,145
1343,113
1344,166
1345,127
1346,101
1347,148
1348,159
1349,117
1350,172
1351,110
1352,151
1353,132
1354,114
1355,88
1356,59
1357,145
1358,80
1359,147
1360,135
1361,157
1362,177
1363,103
1364,74
1365,137
1366,162
1367,176
1368,40
1369,150
1370,151
1371,169
1372,101
1373,41
1374,134
1375,172
1376,147
1377,165
1378,103
1379,87
1380,151
1381,39
1382,127
1383,138
1384,64
1385,126
1386,60
1387,171
1388,137
1389,45
1390,146
1391,82
1392,76
1393,170
1394,50
1395,138
1396,175
1397,45
1398,155
1399,67
1400,180
1401,76
1402,90
1403,172
1404,124
1405,72
1406,99
1407,89
1408,135
1409,120
1410,171
1411,57
1412,162
1413,156
1414,112
1415,138
1416,75
1417,128
1418,136
1419,74
1420,159
1421,171
1422,74
1423,41
1424,60
1425,185
1426,165
1427,154
1428,37
1429,165
1430,113
1431,100
1432,45
1433,135
1434,76
1435,135
1436,56
1437,45
1438,89
1439,162
1440,170
1441,174
1442,127
1443,59
1444,61
1445,162
1446,45
1447,177
1448,59
1449,113
1450,163
1451,154
1452,74
1453,167
1454,100
1455,155
1456,127
1457,176
1458,80
1459,86
1460,78
1461,102
1462,19
1463,90
1464,155
1465,186
1466,113
1467,64
1468,125
1469,71
1470,9
1471,172
1472,117
1473,174
1474,150
1475,131
1476,90
1477,71
1478,145
1479,170
1480,72
1481,181
1482,58
1483,142
1484,87
1485,90
1486,125
1487,166
1488,124
1489,174
1490,147
1491,145
1492,164
1493,47
1494,182
1495,154
1496,153
1497,165
1498,72
1499,171
1500,136
1501,184
1502,56
1503,85
1504,42
1505,109
1506,153
1507,71
1508,77
1509,174
1510,175
1511,107
1512,156
1513,75
1514,71
1515,115
1516,63
1517,180
1518,139
1519,126
1520,112
1521,125
1522,171
1523,176
1524,102
1525,125
1526,76
1527,104
1528,178
1529,136
1530,148
1531,90
1532,91
1533,76
1534,74
1535,112
1536,76
1537,164
1538,172
1539,113
1540,60
1541,145
1542,177
1543,29
1544,181
1545,162
1546,154
1547,148
1548,172
1549,92
1550,117
1551,124
1552,44
1553,136
1554,57
1555,178
1556,139
1557,174
1558,169
1559,166
1560,151
1561,118
1562,155
1563,143
1564,60
1565,181
1566,100
1567,157
1568,127
1569,176
1570,129
1571,169
1572,113
1573,137
1574,89
1575,46
1576,60
1577,180
1578,85
1579,163
1580,88
1581,127
1582,148
1583,165
1584,101
1585,58
1586,162
1587,74
1588,89
1589,167
1590,120
1591,153
1592,60
1593,113
1594,91
1595,124
1596,165
1597,112
1598,19
1599,177
1600,119
1601,136
1602,54
1603,78
1604,64
1605,111
1606,117
1607,141
1608,158
1609,175
1610,95
1611,102
1612,123
1613,44
1614,72
1615,82
1616,155
1617,56
1618,71
1619,164
1620,137
1621,184
1622,116
1623,71
1624,169
1625,145
1626,169
1627,175
1628,103
1629,162
1630,60
1631,45
1632,178
1633,91
1634,115
1635,79
1636,146
1637,141
1638,112
1639,165
1640,147
1641,19
1642,164
1643,56
1644,24
1645,120
1646,136
1647,158
1648,28
1649,114
1650,163
1651,87
1652,172
1653,143
1654,164
1655,137
1656,89
1657,19
1658,58
1659,149
1660,100
1661,114
1662,101
1663,183
1664,157
1665,38
1666,49
1667,169
1668,171
1669,140
1670,88
1671,126
1672,163
1673,172
1674,23
1675,148
1676,165
1677,82
1678,125
1679,164
1680,115
1681,100
1682,99
1683,172
1684,149
1685,131
1686,25
1687,86
1688,105
1689,164
1690,72
1691,50
1692,65
1693,99
1694,26
1695,27
1696,154
1697,60
1698,45
1699,137
1700,136
1701,116
1702,135
1703,155
1704,112
1705,182
1706,117
1707,172
1708,122
1709,63
1710,162
1711,88
1712,125
1713,116
1714,167
1715,76
1716,163
1717,50
1718,101
1719,156
1720,66
1721,186
1722,64
1723,184
1724,185
1725,114
1726,150
1727,181
1728,101
1729,101
1730,189
1731,38
1732,71
1733,40
1734,174
1735,132
1736,119
1737,170
1738,101
1739,51
1740,73
1741,155
1742,154
1743,114
1744,71
1745,167
1746,155
1747,135
1748,108
1749,88
1750,159
1751,169
1752,154
1753,130
1754,71
1755,106
1756,184
1757,141
1758,154
1759,170
1760,115
1761,63
1762,165
1763,156
1764,181
1765,139
1766,135
1767,149
1768,119
1769,115
1770,63
1771,181
1772,154
1773,162
1774,147
1775,162
1776,41
1777,176
1778,123
1779,173
1780,124
1781,167
1782,105
1783,173
1784,63
1785,175
1786,164
1787,137
1788,159
1789,21
1790,63
1791,113
1792,175
1793,93
1794,157
1795,137
1796,175
1797,116
1798,126
1799,156
1800,181
1801,124
1802,149
1803,102
1804,76
1805,139
1806,67
1807,159
1808,88
1809,29
1810,155
1811,184
1812,164
1813,64
1814,155
1815,76
1816,145
1817,24
1818,85
1819,114
1820,127
1821,166
1822,148
1823,108
1824,162
1825,156
1826,73
1827,156
1828,176
1829,126
1830,114
1831,55
1832,147
1833,186
1834,114
1835,154
1836,113
1837,148
1838,28
1839,89
1840,75
1841,118
1842,175
1843,72
1844,125
1845,64
1846,66
1847,80
1848,155
1849,22
1850,86
1851,100
1852,161
1853,130
1854,164
1855,169
1856,136
1857,183
1858,92
1859,29
1860,108
1861,155
1862,81
1863,101
1864,179
1865,184
1866,171
1867,158
1868,96
1869,120
1870,101
1871,46
1872,91
1873,90
1874,75
1875,146
1876,82
1877,19
1878,42
1879,62
1880,102
1881,172
1882,162
1883,163
1884,185
1885,157
1886,160
1887,60
1888,66
1889,172
1890,40
1891,155
1892,137
1893,170
1894,147
1895,151
1896,157
1897,166
1898,28
1899,163
1900,175
1901,162
1902,117
1903,57
1904,87
1905,165
1906,108
1907,159
1908,46
1909,58
1910,116
1911,162
1912,78
1913,114
1914,115
1915,101
1916,155
1917,28
1918,136
1919,75
1920,116
1921,137
1922,125
1923,137
1924,155
1925,183
1926,154
1927,92
1928,87
1929,162
1930,45
1931,172
1932,71
1933,155
1934,184
1935,56
1936,54
1937,154
1938,125
1939,170
1940,123
1941,88
1942,112
1943,169
1944,88
1945,54
1946,73
1947,169
1948,135
1949,47
1950,171
1951,99
1952,75
1953,163
1954,102
1955,88
1956,175
1957,155
1958,56
1959,89
1960,176
1961,171
1962,69
1963,171
1964,184
1965,169
1966,58
1967,110
1968,109
1969,159
1970,129
1971,31
1972,158
1973,41
1974,148
1975,171
1976,49
1977,126
1978,120
1979,139
1980,71
1981,167
1982,64
1983,88
1984,176
1985,77
1986,43
1987,177
1988,115
1989,166
1990,154
1991,89
1992,157
1993,70
1994,72
1995,115
1996,28
1997,40
1998,27
1999,113
2000,95
2001,89
2002,114
2003,115
2004,162
2005,91
2006,74
2007,166
2008,40
2009,115
2010,145
2011,76
2012,168
2013,114
2014,136
2015,113
2016,100
2017,119
2018,59
2019,61
2020,107
2021,114
2022,157
2023,88
2024,125
2025,126
2026,169
2027,105
2028,163
2029,156
2030,122
2031,175
2032,157
2033,78
2034,26
2035,73
2036,116
2037,102
2038,116
2039,57
2040,124
2041,80
2042,56
2043,174
2044,172
2045,56
2046,72
2047,117
2048,170
2049,115
2050,169
2051,125
2052,186
2053,177
2054,80
2055,148
2056,108
2057,162
2058,146
2059,73
2060,63
2061,123
2062,33
2063,105
2064,153
2065,136
2066,61
2067,113
2068,43
2069,162
2070,139
2071,80
2072,154
2073,136
2074,42
2075,128
2076,136
2077,59
2078,45
2079,109
2080,121
2081,125
2082,88
2083,88
2084,175
2085,148
2086,154
2087,125
2088,126
2089,116
2090,57
2091,136
2092,182
2093,94
2094,114
2095,47
2096,127
2097,154
2098,24
2099,154
2100,155
2101,19
2102,124
2103,72
2104,185
2105,164
2106,42
2107,74
2108,71
2109,129
2110,56
2111,177
2112,63
